Company_name,Trading_name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change Percentage,52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
ACME Pesticides Limited,ACMEPL,36.20,36.20,3:45 PM,34.30 - 36.60,1.2,16.30,3.43%,11.00 - 40.20,35.90,"457,517.00",35.00,617,35.00,"4,725.000","1,500.00","14 Nov, 2021","1,350.00",Equity,10.0,1,"135,000,000",Pharmaceuticals & Chemicals,"Doyarampur, Tarakanda, Fulpur,  Mymensingh, Bangladesh",+880-02-48118123,+880-2- 48118124,info@acmepesticides.com,http://www.acmepesticides.com,Md. Ariful Alam,+8801985772222,,acs2243@gmail.com
Active Fine Chemicals Limited,ACTIVEFINE,19.70,19.70,3:45 PM,19.30 - 20.00,0.1,15.77,0.51%,19.10 - 34.10,19.30,"809,754.00",19.60,554,19.60,"4,702.757","3,000.00",,"2,399.37",Equity,10.0,1,"239,936,580",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02-8836875",02-9531190,"afc@cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afchem.com,Md. Mahbubur Rahman,01992024696,02-9531023,afc.cs2018@gmail.com
ADN Telecom Limited,ADNTEL,59.90,59.90,3:45 PM,58.50 - 61.90,0.3,8.32,0.50%,49.80 - 83.20,61.90,"140,646.00",59.60,230,59.60,"3,853.239","2,000.00","06 Jan, 2020",646.52,Equity,10.0,1,"64,651,666",IT Sector,"Red Crescent Concord Tower (19th Floor), 17 Mohakhali C/A, Dhaka-1212","+8802 9841234, +8802 9841234 and 01777770324",+880 2 9887551,info@adnsl.net,http://www.adntel.com.bd,"Md. Monir Hossain, FCS",01777770322,+8802 9841234 Ext: 113,monir@adnsl.net
Advent Pharma Limited,ADVENT,23.20,23.10,3:45 PM,22.60 - 23.20,0.2,5.55,0.87%,22.60 - 38.10,22.60,"243,615.00",23.00,265,23.00,"2,142.053","1,000.00","12 Apr, 2018",931.33,Equity,10.0,1,"93,132,732",Pharmaceuticals & Chemicals,"Rupayan Karim Tower, Level # 10, 80-Kakrail, VIP Road, Ramna, Dhaka-1000.",+88-02-9185352,+88-02-9185351,adventpharmaltd.bd@gmail.com,http://www.adventpharmabd.com,Md Ikramul Islam,'01725909222,,ikramulca@gmail.com
AFC Agro Biotech Ltd.,AFCAGRO,23.60,23.60,3:45 PM,23.20 - 23.90,0,3.58,0.00%,21.40 - 38.50,23.20,"152,573.00",23.60,161,23.60,"2,719.102","3,000.00","11 Feb, 2014","1,152.16",Equity,10.0,1,"115,216,200",Pharmaceuticals & Chemicals,"Share Office: Tanaka Tower 2nd floor, 42/1/Gha, Segun Bagicha, Dhaka-1000.rnRegistered Office: Navana Osman @Link, 214/D, Tejgaon, Gulshan Link Road, Dhaka-1208.","88-02-8836830, 02- 8836875, 02-9531023",880-2-9531190,"afc.cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afcagrobiotech.com,Sabekun Nahar,01992024515,02-9531023,afc.cs2018@gmail.com
Aftab Automobiles Limited,AFTABAUTO,25.90,25.60,3:45 PM,24.90 - 26.00,0.5,0.53,1.97%,24.30 - 40.40,26.00,"21,054.00",25.40,71,25.40,"2,553.184","3,000.00",,"1,005.19",Equity,10.0,1,"100,519,043",Engineering,"125/A Motijheel C/A, Dhaka - 1000",+8802 223381812,+8802 223383224,info@aftabautomobiles.com,http://aftabautomobiles.com,Mohammad Jaman Khan ACS,01713245382,"(8802) 9552212, 9554748, Ext-111",cs@aftabautomobiles.com
Agni Systems Ltd.,AGNISYSL,22.30,22.30,3:45 PM,21.70 - 22.50,0.2,8.17,0.90%,19.00 - 30.50,22.30,"370,799.00",22.10,284,22.10,"1,603.492","1,000.00",,725.56,Equity,10.0,1,"72,556,192",IT Sector,"Navana Tower(11th floor), Suite # A,45, Gulshan Avenue, Gulshan - 1, Dhaka - 1212","09606100700 Ext. 104,",58811902,cs@agni.com,http://www.agni.com,Md. Noor ul Alam,"01841739966 , 01615862332",09606100700 Ext. 104,noor.alam@agni.com
Agrani Insurance Co. Ltd.,AGRANINS,38.20,38.10,3:45 PM,37.90 - 40.90,0,1.51,0.00%,37.90 - 64.20,40.90,"38,041.00",38.20,53,38.20,"1,213.114",500.00,,317.57,Equity,10.0,1,"31,756,920",Insurance,"City Centre (17th floor), 90/1, Motijheel C/A, Dhaka-1000",55111007-11,88-02-55111012,info.agraniinsurance.com,http://www.agraniinsurance.com,Md. Mofizur Rahman,01723407370,8391571-4 Ex-114,mofizuraicl@gmail.com
AIBL 1st Islamic Mutual Fund,AIBL1STIMF,7.40,7.40,3:45 PM,7.40 - 7.50,-0.1,0.76,-1.33%,7.40 - 9.80,7.40,"102,624.00",7.50,54,7.50,750.000,-,,"1,000.00",Mutual Fund,10.0,1,"100,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Bock # CEN(A), Gushan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",+88 02 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
Alif Industries Limited,AIL,54.40,54.40,3:45 PM,53.90 - 55.10,-0.5,42.52,-0.91%,35.40 - 67.30,55.00,"784,989.00",54.90,826,54.90,"2,429.417","1,500.00","28 Dec, 2017",442.52,Equity,10.0,1,"44,251,669",Textile,"Bilquis Tower (9th floor), House -06, Road-46, Gulshan-2, Dhaka - 1212","58815226, 58815227",58815228,alifindustries95@gmail.com,http://www.alifgroup-bd.com/,Mahfuzur Rahman,01552416749,"58815226, 58815227",alifindustries95@gmail.com
Al-Haj Textile Mills Limited,AL-HAJTEX,127.60,127.60,3:45 PM,124.80 - 129.80,0.3,27.00,0.24%,41.40 - 142.00,125.20,"213,586.00",127.30,439,127.30,"2,838.605",500.00,,222.99,Equity,10.0,1,"22,298,549",Textile,"66, Dilkusha C/A (4th floor) Chand Mansion, Dhaka",02-223384638,88 - 02 - 223383951,info@alhajtextilemills.com,http://www.alhajtextilemills.com,Md. Selim Parvez FCS,01673-406433,02-223384638,secretary@alhajtextilemills.com
Al-Arafah Islami Bank Ltd,ALARABANK,23.70,23.70,3:45 PM,23.60 - 24.00,-0.3,1.79,-1.25%,22.60 - 30.10,23.90,"74,922.00",24.00,69,24.00,"25,557.652","15,000.00",,"10,649.00",Equity,10.0,1,"1,064,902,185",Bank,"63, Purana Paltan, Dhaka - 1000","02-44850050 (direct),  02-44850005-20, ext--(212-215)",02-44850065,"board.aibl@al-arafahbank.com,  share@aibl.com.bd",http://www.al-arafahbank.com,Md. Mahmudur Rahman,01819556376,"02-44850027 (direct), 02-44850005  Ext. 111",mahmud.rahman@al-arafahbank.com
Alif Manufacturing Company Ltd.,ALIF,13.60,13.60,3:45 PM,13.20 - 13.70,0.2,36.70,1.49%,12.50 - 23.50,13.40,"2,747,587.00",13.40,866,13.40,"3,483.022","5,000.00",,"2,599.27",Equity,10.0,1,"259,927,022",Textile,"Bilquis Tower(9th floor), House # 6,Road # 46, Gulshan Circle - 2,Dhaka - 1212.","58815226, 58815227",58815228,alifmanufacturing@gmail.com,http://amcl.com.bd,Mahfuzur Rahman,'01552416749,"58815226, 58815227",mahfuz.lkgroup@gmail.com
Alltex Industries Ltd.,ALLTEX,25.50,25.50,3:45 PM,24.00 - 25.60,1.2,30.64,4.94%,12.50 - 29.70,24.20,"1,226,504.00",24.30,958,24.30,"1,360.022","1,000.00",,559.68,Equity,10.0,1,"55,968,000",Textile,"Correspondence Office: Suite No. 5Brn House No. 1, Road No. 27/28, Block-KrnBanani, Dhaka, Bangladesh","(02) 48810664, '01711141161",(02) 48810665,info.alltex@yahoo.com,http://www.alltexbd.com,MD. ZIAUL HUQUE,01730031245,(02) 48810664,csalltex@yahoo.com
Aman Feed Limited,AMANFEED,34.00,34.00,3:45 PM,32.60 - 34.50,0.8,11.02,2.41%,32.60 - 79.70,32.80,"333,119.00",33.20,479,33.20,"4,348.217","1,500.00","01 Sep, 2015","1,309.70",Equity,10.0,1,"130,970,400",Miscellaneous,"2, Isha kha Avenue, Sector# 6, Uttara, Dhaka- 1230","880-752-956191, 880-2-48961691-3, 09612613000",880-2-58950510,masudul@amangroupbd.com,http://www.amanfeed.com,Md. Masudul Karim,01755-675040,,masudul@amangroupbd.com
Ambee Pharmaceuticals  Ltd.,AMBEEPHA,488.80,490.20,3:45 PM,488.00 - 497.20,0.4,1.72,0.08%,375.30 - 645.00,488.00,"3,507.00",488.40,141,488.40,"1,172.160",25.00,,24.00,Equity,10.0,1,"2,400,000",Pharmaceuticals & Chemicals,"184/1, Tejgaon Industrial Area rnDhaka-1208","(880-2) 8870777, 8870788, 8878534",8870777,cs.amir@ambeepharma.com,http://www.ambeepharma.com,Motiur Rahman,01888814455,,cs.amir@ambeepharma.com
Agricultural Marketing Company Ltd. (Pran),AMCL(PRAN),264.40,264.40,3:45 PM,258.10 - 269.00,1.6,4.09,0.61%,195.10 - 399.00,258.10,"15,493.00",262.80,283,262.80,"2,102.400",500.00,,80.00,Equity,10.0,1,"8,000,000",Food & Allied,"PRAN Cenre, Ga-105/1, Middle Badda, Dhaka-1212",9881792 Ext-230,88-02-8837464,amcl@prangroup.com,http://www.pranfoods.net,Advocate Kizi Abdur Rahman,01924601238,"9881792, Ext-431",legal14@prangroup.com
Anlimayarn Dyeing Ltd.,ANLIMAYARN,38.10,38.10,3:45 PM,36.40 - 38.30,1,5.34,2.70%,32.80 - 52.90,36.70,"142,910.00",37.10,361,37.10,662.895,200.00,,178.68,Equity,10.0,1,"17,867,800",Textile,"Suite # 4/3, City Heart, 67, Naya Paltan, Dhaka-1000.","49349881-4, 9341373, 48317216",48317184,info@anlima.com,http://www.anlima.com,Mohammad Jahangir Alam,01848300800,"49349881-4, 9341373, 48317216",info@anlima.com
Anwar Galvanizing Ltd.,ANWARGALV,389.90,384.20,3:45 PM,375.30 - 390.00,8.2,4.43,2.15%,251.00 - 483.00,375.40,"11,597.00",381.70,112,381.70,"6,401.338",500.00,,167.71,Equity,10.0,1,"16,770,600",Engineering,"Baitul Hossain Building ( 14 Floor ), 27 Dilkusha , Motijheel, Dhaka -1000","88 02 9552134, 88 02 9564033",88 02 7124264,tauhidul.islam@anwargroup.net,http://www.anwargalvanizing.com,Mr. Tauhidul Islam FCS,01711 704 554,88 02 9551335,tauhidul.islam@anwargroup.net
Associated Oxygen Limited,AOL,36.90,36.90,3:45 PM,35.80 - 37.50,0.4,3.06,1.10%,33.90 - 66.00,35.90,"83,592.00",36.50,123,36.50,"4,007.043","1,100.00","25 Oct, 2020","1,097.82",Equity,10.0,1,"109,782,000",Fuel & Power,"BCIC Sadan(1st Floor), 26 Agrabad C/A,Chitagong","88-031-711009,  88-031-711038",88-031-2517950,info@associatedoxygenltd.com,http://www.associatedoxygenltd.com,,,,
Apex Foods Limited,APEXFOODS,175.20,175.20,3:45 PM,170.00 - 181.50,4.7,1.75,2.76%,126.00 - 243.00,181.50,"10,095.00",170.50,166,170.50,972.259,150.00,,57.02,Equity,10.0,1,"5,702,400",Food & Allied,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212","880-2-9883358, 880-2-9883358 Ext. 152, 880-31-2771830",880-2-58810990 or 8810850,share@apexfoods.com,http://www.apexfoods.com,Kamrul Islam,01721007914,880-2-9883358 Ext. 153,share@apexfoods.com
Apex Footwear Limited.,APEXFOOT,260.90,260.90,3:45 PM,256.50 - 263.00,-0.5,5.30,-0.19%,220.00 - 395.00,257.50,"20,410.00",261.40,255,261.40,"3,087.788",500.00,,118.12,Equity,10.0,1,"11,812,500",Tannery Industries,"House No. 06, Road No. 137, Block - SE(D)rnGulshan-1, Dhaka-1212","02 55044841, 02 55044841 (Ext-347)",02 55044843,omar.faruque@apexfootwearltd.com,http://www.apexfootwearltd.com,Md. Omar Faruque,01717306107,02 55044841 (Ext-288),omar.faruque@apexfootwearltd.com
Apex Spinning & Knitting Mills Limited,APEXSPINN,133.70,133.70,3:45 PM,130.10 - 134.00,2.8,4.60,2.14%,109.00 - 195.90,130.40,"34,800.00",130.90,259,130.90,"1,099.560",300.00,,84.00,Equity,10.0,1,"8,400,000",Textile,"Rupayan Golden Age, 5th & 6th Floor, 99 Gulshan Avenue, Dhaka-1212",880-2-9883358 Ext. 152,880-2-58810850 or 9861685,share@apexknitting.com,http://www.apexknitting.com,Md. Delour Hossen,01819542647,880-2-9883358 Ext. 153,share@apexknitting.com
Apex Tannery Limited,APEXTANRY,131.50,131.50,3:45 PM,128.70 - 133.40,0.2,5.92,0.15%,111.50 - 184.00,128.80,"45,785.00",131.30,177,131.30,"2,001.012",500.00,,152.40,Equity,10.0,1,"15,240,000",Tannery Industries,"Plot: XA1. XA2, XA3 & XS8, BSCIC Chamra Shipla Nagari, Harindhara, Hemayetpur, Savar, Dhaka- 1340.","01711686592, 01718483597, 01711686592",,"info@apextannery.com, apex@accesstel.net",http://www.apextannery.com,"Sushanta Kumar Paul, FCS",01714299096,,sushanta@apextannery.com
Appollo Ispat Complex Limited,APOLOISPAT,8.40,8.40,3:45 PM,7.90 - 8.50,0.4,14.90,5.00%,7.60 - 14.80,7.90,"1,827,921.00",8.00,583,8.00,"3,210.469","5,000.00","24 Dec, 2013","4,013.09",Equity,10.0,1,"401,308,600",Engineering,"407, Tejgaon Industrial Area, Dhaka - 1208","+88(02)9114946 , 9115098, 9110974, 9137533 - 4, 8117559",+88(02) 9126291,rani@appollo-ispat.com,,,,,
Aramit Limited,ARAMIT,279.40,278.00,3:45 PM,274.00 - 279.40,2,0.41,0.72%,258.30 - 450.00,274.00,"1,489.00",277.40,44,277.40,"1,664.400",100.00,,60.00,Equity,10.0,1,"6,000,000",Miscellaneous,"53, Kalurghat Heavy I / E, P.O Mohara, Chattogram - 4208.","(+88 031) 2570986, 670473, 671950, 670368, '(+88 02) 58815556, 9887176, 9881095",(+88 031) 671583,altd@aramitgroup.net,http://www.aramitlimited.com,"Mr. Syed Kamruzzaman, FCMA",01819-240005,,cfo.atal@aramitgroup.com
Aramit Cement Limited,ARAMITCEM,32.00,32.00,3:45 PM,31.80 - 32.50,-0.4,8.63,-1.23%,24.50 - 64.00,31.80,"269,885.00",32.40,461,32.40,"1,097.712",500.00,,338.80,Equity,10.0,1,"33,880,000",Cement,"53, Kalurghat HIE, P.O. Mohara, Chattogram- 4208.","(88 031) 671950, 670473, 670368, 672516, (88-02) 9887176, 9881095",88-031-671583,shares@aramitgroup.com,http://www.aramitcement.com,"Syed Kamruzzaman, FCMA",01819240005,"(88 031) 671950, 670473, 670368, 672516,   Ext-119",cfo.atal@aramitgroup.com
Argon Denims Limited,ARGONDENIM,18.70,18.70,3:45 PM,17.50 - 18.90,0.9,2.77,5.06%,16.80 - 28.60,17.60,"153,860.00",17.80,165,17.80,"2,472.217","1,500.00","19 Feb, 2013","1,389.00",Equity,10.0,1,"138,888,606",Textile,"Lotus Kamal Tower One (Level 6), 57 Joar Sahara C/A, Nikunja-2, New Airport Road, Dhaka- 1229","880-2-8900870-4, 8900781-3, 880-2-9020491-2",+880-2-8900784,info@argondenims.com,http://www.argondenims.com,Md. Moniruzzaman Bhuiyan,'01714-094393,"880-2-8900870-4, 8900781-3 Ext. 137",monir@argondenims.com
Asia Insurance Limited,ASIAINS,47.80,47.80,3:45 PM,47.30 - 48.20,-0.4,9.14,-0.83%,47.30 - 129.40,47.30,"192,792.00",48.20,414,48.20,"2,268.767","1,000.00",,470.69,Equity,10.0,1,"47,069,858",Insurance,"Rupayan Trade Centre(14th Floor)rn114-115 Kazi Nazrul Islam AvenuernBangla Motor, Dhaka-1000.","02-5513581-84, Fax: 02-55138587",02-55138587,asiainsu@gmail.com,http://www.asiainsurancebd.com,Md. Atique Ullah Majumder,1711890048,"02-5513581-84, Ext: 104",asiainsu@gmail.com
Asia Pacific General Insurance Co. Ltd.,ASIAPACINS,43.00,42.70,3:45 PM,42.50 - 43.30,-0.3,2.57,-0.69%,42.50 - 76.50,43.30,"60,273.00",43.30,104,43.30,"1,833.755","1,000.00",,423.50,Equity,10.0,1,"42,350,000",Insurance,"\""Homested Gulshan Link Tower\"" (6th Floor), Ta-99, Gulshan Badda Link Road, Middle Badda, Dhaka.",09666771771 (Ext: 112),02-8834170,apgic@bdcom.com,http://www.apgicl.com,Md. Shariful Islam Chowdhury,01682624645,09666771771 (Ext: 106),share@apgicl.com
Asian Tiger Sandhani Life Growth Fund,ATCSLGF,9.70,9.70,3:45 PM,9.60 - 9.80,0,0.88,0.00%,9.10 - 15.50,9.80,"91,571.00",9.70,74,9.70,599.325,-,"31 Mar, 2015",617.86,Mutual Fund,10.0,1,"61,786,050",Mutual Funds,"Progress Tower, House # 01, Road # 23 (2nd floor), Unit # 2A & 2B, Gulshan-1, Dhaka-1212.","+(8802) 9852111, 9852112, 9852113",+(8802) 9852110,info@at-capital.com,http://www.at-capital.com,,,,
Atlas Bangladesh Ltd.,ATLASBANG,105.60,105.60,3:45 PM,105.40 - 110.00,-1.9,1.31,-1.77%,90.00 - 146.90,109.90,"12,293.00",107.50,74,107.50,"3,561.164","1,000.00",,331.27,Equity,10.0,1,"33,127,108",Engineering,"Bsec, Kawran, Bazarrnrn andrnrn Tongi, Gazipur","02-8120414, 02-8189642, 9814190, Ext-25, 01716861439",29812660,bdabl@yahoo.com,http://www.atlas.gov.bd,Sanjay Kumar Datta,01718568869,"9814190, Ex-18",san.ntl_2007@yahoo.com
Aziz Pipes Ltd.,AZIZPIPES,95.50,96.00,3:45 PM,95.40 - 97.90,-1.8,2.17,-1.85%,83.00 - 169.00,95.40,"22,667.00",97.30,141,97.30,520.275,500.00,,53.47,Equity,10.0,1,"5,347,125",Engineering,"Aziz Bhaban (3rd Floor), 93, Motijheel C/A, Dhaka - 1000",+88 02 223382691-6,88 - 02 - 223389675,info@azizpipes.com,http://www.azizpipes.com,AHM Zakaria,01678029189,88-02-9562691 Ext.-104,zakaria@azizpipes.com
Bangas Ltd.,BANGAS,130.30,130.30,3:45 PM,129.80 - 134.70,-2.1,16.44,-1.59%,109.40 - 165.00,130.10,"125,948.00",132.40,710,132.40,"1,009.503",500.00,,76.25,Equity,10.0,1,"7,624,643",Food & Allied,"South Avenue Tower (6th Floor), House # 50, Road # 03, Gulshan- 1, Dhaka-1212.","88-02-222260264, 88-02-222260458, 88-02-222262803",88-02-222262803,companysecretary.btg@gmail.com,http://www.bangas.com.bd,Md. Shahjahan,01726128969,"88-02-222262803, 88-02-222260264, 88-02-222260458",companysecretary.btg@gmail.com
Bank Asia Ltd.,BANKASIA,20.30,20.30,3:45 PM,20.20 - 20.30,-0.2,5.87,-0.98%,17.80 - 22.20,20.30,"289,742.00",20.50,103,20.50,"23,901.091","15,000.00",,"11,659.10",Equity,10.0,1,"1,165,906,860",Bank,"Bank Asia Tower 32 & 34 Kazi Nazrul Islam AvenuernKawran Bazar, Dhaka-1215","880-9617-001100 Ext: 001213,001215, 01711198680",880-2-55013976,monzur.morshed@bankasia-bd.com,http://www.bankasia-bd.com,S.M.Anisuzzaman,01713-108866,880-9617-001100 Ext-001201,s.anisuzzaman@bankasia-bd.com
Baraka Power Limited,BARKAPOWER,21.70,21.50,3:45 PM,21.40 - 22.00,-0.1,8.33,-0.46%,21.40 - 33.20,22.00,"388,728.00",21.80,351,21.80,"5,133.151","4,000.00",,"2,354.66",Equity,10.0,1,"235,465,661",Fuel & Power,"6/A/1 (1st & 2nd Floor), Segunbagicha, Ramna, Dhaka-1000","+88-02-223352305, 223357074",+88-02-223383117,sharedept@barakapower.com,http://www.barakapower.com,Md. Saiful Islam Chowdhury,01730700857,"+88-02-223352305, 223357074 (Ext. 121)",cs@barakapower.com
Bata Shoe Company (Bangladesh) Limited,BATASHOE,932.00,928.20,3:45 PM,922.10 - 932.00,11.8,1.93,1.28%,"648.00 - 1,006.40",922.10,"2,084.00",920.20,77,920.20,"12,588.336",200.00,,136.80,Equity,10.0,1,"13,680,000",Tannery Industries,"Tongi Industrial Area, Tongi, Gazipur-1710.","PABX '9810501-5, 'PABX '9810501-5 (ext 194) Direct 9810514, Mobile 01711407674",9810511,bd.share@bata.com,http://www.batabd.com,Md. Hashim Reza,01713094614,PABX '9810501-5 (ext 193),hashim.reza@bata.com
British American Tobacco bangladesh Company Limited,BATBC,520.00,519.70,3:45 PM,516.00 - 520.00,-0.4,68.17,-0.08%,516.00 - 754.00,518.00,"131,554.00",520.40,"1,922",520.40,"281,016.000","5,400.00",,"5,400.00",Equity,10.0,1,"540,000,000",Food & Allied,"New DOHS Road,  Mohakhali,  Dhaka - 1206","+88 02 48811279-83, EXT-394",+880 2 8714819,md_azizur_rahman@bat.com,http://www.batbangladesh.com,Md. Azizur Rahman,+88 01313701925,"+88 02 48811279-83, Ext-392",md_azizur_rahman@bat.com
Bay Leasing & Investment Limited,BAYLEASING,24.00,24.00,3:45 PM,23.40 - 24.20,0.2,16.97,0.84%,23.40 - 38.10,23.50,"714,504.00",23.80,465,23.80,"3,353.145","3,000.00",,"1,408.88",Equity,10.0,1,"140,888,443",Financial Institutions,"Eunoos Trade Centre, Level-18, rn52-53 Dilkusha C/A, Dhaka-1000",02223352504 (Hunting),02223352503,info@blilbd.com,http://www.blilbd.com,Sharmin Akhter,01793477212,+88 02 223352504 (Hunting),sharmin@blilbd.com
